lab,address,pincode,city,state,type,,Lat,Long
"Indira Gandhi Medical College, Shimla","Indira Gandhi Medical College, Ridge Sanjauli Rd, Lakkar Bazar, Shimla, Himachal Pradesh 171001",171001,Shimla,Himachal Pradesh,Government Laboratory,,31.10879135,77.17776489
"Dr. Rajendra Prasad Government Medical College, Tanda","Dr. Rajendra Prasad Government Medical College, Tanda Hospital Rd, Kangra, Himachal Pradesh 176001",176001,Kangra,Himachal Pradesh,Government Laboratory,,32.08877563,76.2485199
"Central Research Institute, Kasauli","Central Research Institute, Solan, Kasauli, Himachal Pradesh 173204",173204,Kasauli,Himachal Pradesh,Government Laboratory,,30.91273499,76.95587921
"Government Medical College, Jammu","Government Medical College, maheshpura, chowk, Bakshi Nagar, Jammu Cantonment, Jammu and Kashmir 180001",180001,Jammu,Jammu and Kashmir,Government Laboratory,,32.73407745,74.8680954
"Command Hospital, Udhampur","Command Hospital, Raghunathpura, Udhampur, Jammu and Kashmir 182101",182101,Udhampur,Jammu and Kashmir,Government Laboratory,,32.92361832,75.13542938
"Sher-i -Kashmir Institute of Medical Sciences, Srinagar","Sher - i-Kashmir Institute of Medical Sciences, SKIMS Main Rd, Soura, Srinagar, 190011",190011,Srinagar,Jammu and Kashmir,Government Laboratory,,34.133358,74.80870819
"Government Medical College, Srinagar","Government Medical College, Jammu and Kashmir, Bemina, Srinagar, 190010",190010,Srinagar,Jammu and Kashmir,Government Laboratory,,34.08628082,74.78832245
"MGM Medical College, Jamshedpur","MGM Medical College, Dimna Rd, Hill View Colony, Mango, Jamshedpur, Jharkhand 831020",831020,Jamshedpur,Jharkhand,Government Laboratory,,22.85025406,86.19275665
"Rajendra Institute of Medical Sciences, Ranchi","Rajendra Institute of Medical Sciences, Cir, Indraprasth Colony, Bariatu, Ranchi, Jharkhand 834009",834009,Ranchi,Jharkhand,Government Laboratory,,23.40702248,85.3660965
"Patliputra Medical College & Hospital, Dhanbad","Patliputra Medical College & Hospital, B.C.C.L. Township, Koyla Nagar, Dhanbad - 826005, Jharkhand",826005,Dhanbad,Jharkhand,Government Laboratory,,23.81614304,86.45114136
"Hassan Institute of Medical Sciences, Hassan","Hassan Institute of Medical Sciences, Shri panchamukhi medicals and clinic, opp. govt high school, Hassan, Karnataka 573201",573201,Hassan,Karnataka,Government Laboratory,,12.99333763,76.08660126
"Mysore Medical College & Research Institute, Mysore","Mysore Medical College & Research Institute, Irwin Road, next to Railway Staion, Mysuru, Karnataka 570001",570001,Mysuru,Karnataka,Government Laboratory,,12.32068825,76.65479279
"Shimoga Institute of Medical Sciences, Shivamogga","Shimoga Institute of Medical Sciences, N.H.206, Sagara Road, Shivamogga, Karnataka 577201",577201,Shivamogga,Karnataka,Government Laboratory,,13.96845531,75.59669495
Command Hospital (Air Force) Bengaluru,"Command Hospital (Air Force) , Cambridge Rd, Cambridge Layout, Jogupalya, Bengaluru, Karnataka 560007",560007,Bengaluru,Karnataka,Government Laboratory,,12.95630741,77.6283493
"Bangalore Medical College & Research Institute, Bangaluru","Bangalore Medical College & Research Institute, Krishna Rajendra Rd, Bengaluru, Karnataka 560002",560002,Bengaluru,Karnataka,Government Laboratory,,12.96388245,77.57756042
"National Institute of Virology, Field Unit, Bengaluru","National Institute of Virology, Field Unit, Jaya Nagar 1st Block, Jayanagar, Bengaluru, Karnataka 560011",560011,Bengaluru,Karnataka,Government Laboratory,,12.93476772,77.59075928
"Gulbarga Institute Of Medical Sciences, Gulbarga","Gulbarga Institute Of Medical Sciences, Sedam Rd,Veeresh Nagar Cross, behind MRMC, Gulbarga, Karnataka 585101",585101,Gulbarga,Karnataka,Government Laboratory,,17.34010315,76.82282257
"National Institute of Mental Health and Neurosciences, Bengaluru","National Institute of Mental Health and Neurosciences,, Hosur Road, Lakkasandra, Hombegowda Nagar, Bengaluru, Karnataka 560029",560029,Bengaluru,Karnataka,Government Laboratory,,12.92637253,77.60727692
"Vijayanagar Institute of Medical Science, Bellary","Vijayanagar Institute of Medical Sciences, Contonment, Bellary 583104, Karnataka, India",583104,Bellary,Karnataka,Government Laboratory,,15.17047119,76.86248779
"Wenlock District Hospital, Mangalore","Wenlock District Hospital, Hampankatta, Mangalore, Karnataka 575001",575001,Mangalore,Karnataka,Government Laboratory,,12.85948753,74.84461212
"Karnataka Institute of Medical Sciences (K.I.M.S.), Hubballi","Karnataka Institute of Medical Sciences (K.I.M.S.), P. B Road, Vidyanagar, Hubli – 580022, Karnataka, India",580022,Hubli,Karnataka,Government Laboratory,,15.35573292,75.14025879
"ICMR-National Institute of Traditional Medicine (NITM), Belagavi","ICMR-National Institute of Traditional Medicine (NITM), Nehru Nagar, National Highway No. 4, Belagavi- 590010 Karnataka, India",590010,Belagavi,Karnataka,Government Laboratory,,15.9013176,74.51389313
"Neuberg Anand Reference Laboratory, Bengaluru","Neuberg Anand Reference Laboratory, Anand Tower, #54, bowring Hospital Road, Bengaluru, karnataka, India 560001",560001,Bengaluru,Karnataka,Private Laboratory,,12.97909546,77.60671234
"Cancyte Technologies Private Limited, Bengaluru","Cancyte Technologies Private Limited, Bengaluru, Karnataka 560018",560018,Bengaluru,Karnataka,Private Laboratory,,12.95818996,77.56493378
"Sakra World Hospital Laboratory Services, Bangalore","Sakra World Hospital Laboratory Services, 52/2 & 52/3, Deverabeesanahalli, Varthur Hobli, Bangalore-560103, Karnataka, India",560103,Bengaluru,Karnataka,Private Laboratory,,12.9308548,77.68338776
"Central Diagnostic Laboratory, Vydehi Institute of Medical Sciences & Research Centre, Bangalore","Central Diagnostic Laboratory, Vydehi Institute of Medical Sciences & Research Centre, Basement Hospital Building, #82, E.P.I.P. Area, Whitefield, Bangalore-560066, Karnataka",560066,Bengaluru,Karnataka,Private Laboratory,,12.97238445,77.74504852
"Laboratory Services, Apollo Hospitals, (A Unit of M/S Imperial Hospital and Research Centre Ltd), Bengaluru","Laboratory Services, Apollo Hospitals, (A Unit of M/S Imperial Hospital and Research Centre Ltd), 154/11, Opp IIM, Bannerghatta Road, Bengaluru - 560 076, Karnataka, India",560076,Bengaluru,Karnataka,Private Laboratory,,12.8846941,77.60511017
"National Institute of Virology Field Unit, Allapuzzha","National Institute of Virology Field Unit, Allapuzzha Vandanam, Kerala 688005",688005,Vandanam,Kerala,Government Laboratory,,9.40542984,76.36232758
"Government Medical College, Trivandrum","Government Medical College, Ulloor - Akkulam Rd, near SAT hospital Medical College Junction, Chalakkuzhi, Thiruvananthapuram, Kerala 695011",695011,Thiruvananthapuram,Kerala,Government Laboratory,,8.523655891,76.92073059
"Government Medical College, Kozhikode","Government Medical College, 17 Medical College Road Medical College Junction, Near Police Station, Kozhikode, Kerala 673008",673008,Kozhikode,Kerala,Government Laboratory,,11.26519775,75.86907196
"Government Medical College, Thrissur","Government Medical College, M. G. Kavu, Thrissur, Kerala 680596",680596,Thrissur,Kerala,Government Laboratory,,10.61293316,76.20303345
"Rajiv Gandhi Center for Biotechnology, Thiruvananthapuram","Rajiv Gandhi Center for Biotechnology,, Melarannoor Road Behind Central Jail Poojapura, Thycaud, Thiruvananthapuram, Kerala 695014",695014,Thiruvananthapuram,Kerala,Government Laboratory,,8.493478775,76.96192932
"Sree Chitra Tirunal Institute for Medical Sciences & Technology, Thiruvananthapuram","Sree Chitra Tirunal Institute for Medical Sciences & Technology, Jai Nagar W Rd, Chalakkuzhi, Thiruvananthapuram, Kerala 695011",695011,Thiruvananthapuram,Kerala,Government Laboratory,,8.523655891,76.92073059
"State Public Health Laboratory, Trivandrum","State Public Health Laboratory, Red Cross Road, Near, General Hospital Rd, Rishimangalam, Pattoor, Thiruvananthapuram, Kerala 695024",695024,Thiruvananthapuram,Kerala,Government Laboratory,,8.493050575,76.92562103
"Interuniversity, kottayam","Interuniversity, kottayam, Thalappady, Kerala 686019",686019,Thalappady,Kerala,Government Laboratory,,9.608002663,76.5798111
"Malabar Cancer Centre, Thalassery","Malabar Cancer Centre, Kodiyeri, Muzhikkara - MCC Rd, Illathaazha, Thalassery, Kerala 670103",670103,Thalassery,Kerala,Government Laboratory,,11.75569725,75.51400757
"Central University of Kerala, Kasaragod","Central University of Kerala, Tejaswini Hills, Periye (PO), Kasaragod (DT), Kerala - 671316",671316,Kasaragod,Kerala,Government Laboratory,,12.39305305,75.09851837
"DDRC SRL Diagnostics Pvt Ltd, Ernakulam","DDRC SRL Diagnostics Pvt Ltd, DDRC SRL TOWER,G-131, Panampilly Nagar, Ernakulam, Kerala 682036",682036,Ernakulam,Kerala,Private Laboratory,,9.958634377,76.29439545
"MIMS Laboratory Services, Kozhikode","Aster MIMS Laboratory Services, Mini, Mini Bypass Rd, Govindapuram, Kozhikode, Kerala 673016",673016,Kozhikode,Kerala,Private Laboratory,,11.26042747,75.81491852
"Sonam Nurboo Memorial Hospital, Leh-Ladakh","Sonam Nurboo Memorial Hospital, Old Leh Rd, Leh-Ladakh, Ladakh 194101",194101,Ladakh,Ladakh,Collection Site,,33.88518143,77.55783844
"National Institute of Virology, Pune","National Institute of Virology, Pune, 130/1, Pashan - Sus Rd, Pashan Gaon, Pashan, Pune, Maharashtra 411021",411021,Pune,Maharashtra,Government Laboratory,,18.51755333,73.76849365
"Seth GS Medical College & KEM Hospital, Mumbai","Seth GS Medical College & KEM Hospital, Acharya Donde Marg, Parel, Mumbai, Maharashtra 400012",400012,Mumbai,Maharashtra,Government Laboratory,,19.00188828,72.83994293
"Kasturba Hospital for Infectious Diseases, Mumbai","Kasturba Hospital for Infectious Diseases, Sane Guruji Marg, Arya Nagar, Chinchpokli, Mumbai, Maharashtra 400034",400034,Mumbai,Maharashtra,Government Laboratory,,18.97414207,72.81710815
"National Institute of Virology Field Unit, Mumbai","National Institute of Virology Field Unit, Haffkine Institute Compound, A D Marg, Parel Mumbai 4000012",400012,Mumbai,Maharashtra,Government Laboratory,,19.00188828,72.83994293
"Armed Forces Medical College, Pune","Armed Forces Medical College, Southern Command, Solapur Road, Wanowrie, near Race Course, Pune, Maharashtra 411040",411040,Pune,Maharashtra,Government Laboratory,,18.49076271,73.88686371
"BJ Medical College, Pune","BJ Medical College, Jai Prakash Narayan Road, Railway Station Rd, near Pune, Maharashtra 411001",411001,Pune,Maharashtra,Government Laboratory,,18.5194149,73.89211273
"Indira Gandhi Government Medical College & Hospital, Nagpur","Indira Gandhi Government Medical College & Hospital, Mayo Hospital, Central Ave, Mominpura, Nagpur 440018",440018,Nagpur,Maharashtra,Government Laboratory,,21.14976883,79.09551239
"Grant Medical College & Sir JJ Hospital, Mumbai","Grant Medical College & Sir JJ Hospital, J J Marg, Nagpada-Mumbai Central, Noor Baug, Mazgaon, Mumbai, Maharashtra 400008",400008,Mumbai,Maharashtra,Government Laboratory,,18.96816254,72.82672119
Govt Medical College & Hospital Aurangabad,"Govt Medical College & Hospital, University Road, Jubilee Park, Aurangabad, Maharashtra 431004",431004,Aurangabad,Maharashtra,Government Laboratory,,19.91275597,75.31834412
"V. M. Govt. Medical College, Solapur","V. M. Govt. Medical College, Opp. District Court, Solapur, Maharashtra 413003, India",413003,Solapur,Maharashtra,Government Laboratory,,17.64635658,75.93087769
"Haffkine Institute, Mumbai","Haffkine Institute, Acharya Donde Marg, Parel, Mumbai 400012, Maharashtra",400012,Mumbai,Maharashtra,Government Laboratory,,19.00188828,72.83994293
"Shree Bhausaheb Hire Govt Medical College, Dhule","Shree Bhausaheb Hire Govt Medical College, Chakkarbardi, Malegaon Road, Dhule, Maharashtra 424001",424001,Dhule,Maharashtra,Government Laboratory,,20.89017105,74.77605438
"Government Medical College And Hospital, Miraj","Government Medical College And Hospital, Pandharpur Rd, Maji Sainik Vasahat, Miraj, Maharashtra 416410",416410,Miraj,Maharashtra,Government Laboratory,,16.84672928,74.76708984
